num_experimento,num_iteracao,num_particula,pos_camada,pos_n1,pos_n2,pos_n3,pos_lr,vel_camada,vel_n1,vel_n2,vel_n3,vel_lr,pbest_camada,pbest_n1,pbest_n2,pbest_n3,pbest_lr,num_camadas,f1_score,peso,int_best
23,6,16,2.3075098576050443,92.0,92.0,92.0,0.060004,0.059468323147007354,12.0,12.0,12.0,0.009999000000000001,2.8000000000000007,56.0,56.0,56.0,0.030007000000000002,2,0.8529411764705882,0.1470588235294118,0
23,6,17,2.379390796072995,86.22608705869666,105.9252421978538,117.6312313814686,0.08722804928965228,-0.30000000000000004,12.0,-12.0,-0.30058790068450314,-0.0011533737185619895,3.1000000000000005,55.00028997047436,84.0,84.0,0.063297,2,0.90625,0.09375,0
23,6,18,2.500000000000001,113.51304616895484,119.634780183427,114.24541418056697,0.09088655158650799,0.30000000000000004,-1.6358937886012441,6.200571562160809,6.106383306837468,0.009999000000000001,3.4000000000000004,110.30874797434123,112.0,112.0,0.086698,3,0.8529411764705882,0.1470588235294118,0
23,6,19,1.900000000000001,128.0,128.0,128.0,0.1,-0.30000000000000004,0.0037442925015471053,0.04231244966229258,0.04967474691550523,0.0013697530768422876,2.8000000000000007,128.0,128.0,128.0,0.1,2,0.8529411764705882,0.1470588235294118,0
23,7,0,1.0,80.0,104.0,78.39294102376643,0.050005,-0.014465024966572109,12.0,12.0,12.0,0.009999000000000001,1.0,20.0,20.0,20.0,1e-05,1,0.8529411764705882,0.1470588235294118,0
23,7,1,1.0,110.70324881354426,105.46574871952947,94.7636640347327,0.0892803322511185,-0.024706289999999992,6.085873247127321,-12.0,5.372760855990199,0.009999000000000001,1.0,96.0,96.0,77.3909031787425,0.073296,1,0.8529411764705882,0.1470588235294118,0
23,7,2,1.0,125.29313105769738,126.02228938501473,128.0,0.08937235853292774,-0.024706289999999992,2.1147687256829206,0.8368013580909438,12.0,0.009999000000000001,1.0,124.0,124.0,110.78095551668233,0.07669899999999999,1,0.8529411764705882,0.1470588235294118,0
23,7,3,1.0,128.0,128.0,128.0,0.1,-0.024706289999999992,0.05545664771970202,0.002854318036599125,0.02176204245712319,0.002400759899999999,1.0,128.0,128.0,128.0,0.1,1,0.8923076923076924,0.10769230769230764,1
23,7,4,1.0,93.86435681855926,78.48552893410277,77.07908180560925,0.04665724922632915,-0.0045985846420146135,12.0,10.485528934102767,-12.0,0.006651249226329148,1.0060760121377235,32.0,32.0,29.07908180560925,0.010009,1,0.8529411764705882,0.1470588235294118,0
23,7,5,1.7361634386829683,93.3784603076771,82.22508742178066,83.28369696838953,0.073296,0.30000000000000004,12.0,-12.0,-0.7163030316104724,0.009999000000000001,2.0,48.0,48.0,48.0,0.0333,2,0.8529411764705882,0.1470588235294118,0
23,7,6,1.633548239304881,119.0214240268044,102.35081200367001,100.70951714913885,0.0723851620774352,-0.009532391272443153,-7.865514399859822,-12.0,12.0,-0.009999000000000001,2.0,88.0,88.0,88.0,0.0667,2,0.8529411764705882,0.1470588235294118,0
23,7,7,1.660712873101071,128.0,128.0,128.0,0.1,0.26897318622648064,0.04515394973312775,0.25154340922071583,0.02124133470940616,0.002400759899999999,2.0,128.0,128.0,128.0,0.1,2,0.8529411764705882,0.1470588235294118,0
23,7,8,1.3977289044701073,93.68373289250901,56.0,79.17075150544514,0.03679650275757306,-0.028950351890813998,12.0,12.0,11.170751505445132,-0.004988285109026658,1.7,20.0,20.0,20.0,1e-05,1,0.8529411764705882,0.1470588235294118,0
23,7,9,1.004064068990191,123.2826478082105,111.820290207969,80.83057344756125,0.09329400000000002,-0.159354311751397,12.0,4.9597252663352815,-2.684211521262994,0.009999000000000001,1.1634183807415879,111.2826478082105,106.86056494163371,83.51478496882424,0.08329500000000001,1,0.9354838709677419,0.06451612903225812,0
23,7,10,1.3324066374359687,121.90315256095303,127.97512613782644,120.58988471881528,0.09767938833959888,-0.16759336256403173,-5.849690851138307,2.1509486489699703,4.1886278992728085,0.0024324180505691344,3.0,106.47347852466748,99.7606386581111,100.85645332137183,0.08208864234263291,1,0.8529411764705882,0.1470588235294118,0
